,true_answer,model_answer,question
180878,the sphinx,"What is ""sphinx""?","'Its name is from the Greek for ""to bind"", which in turn may come from the Egyptian shesep-ankh, ""living image""'"
48183,Constantinople (Istanbul),What is Istanbul?,"'In 1550 work began on this city's Mosque of Suleyman, one of the largest mosques in Turkey'"
152060,Retrorockets,What are retro rockets?,'They're fired to slow down the movement of a space vehicle'
193326,(Samuel) Beckett,Who is Samuel Beckett?,"'Before he waited for Godot, this Irish author wrote a critical study of Proust'"
107840,(Marco) Rubio,Who is Marco Rubio?,"'Elected senator from Florida, this son of Cuban exiles has been called a rising conservative political star'"
112412,the first day after Ramadan,What is Eid al-Fitr?,"'On this day of the month of Shawwal, Muslims begin the festival of breaking the fast'"
135117,the NSC (the National Security Council),What is the National Security Council?,"'The lieutenant colonel seen <a href=""http://www.j-archive.com/media/2005-05-09_DJ_11.wmv"">here</a> is about to testify about his time on this government body from 1981 to 1986'"
129088,"""Call Me"" (by Blondie)","What is ""Call Me"" by Blondie?","'This song heard <a href=""http://www.j-archive.com/media/2006-01-02_DJ_03.mp3"">here</a> from ""American Gigolo"" was the No. 1 single of 1980'"
172862,36 (4 X 9),What is 36?,"'In MLB, the number of bases (including home plate) times the number of innings in a standard game'"
107432,(Carl) Jung,Who is Carl Jung?,"'This psychologist was unafreud to confront his own demons in ""The Red Book"", written between 1914 & 1930 & published in 2009'"
37587,Roger Taney,Who is Roger B. Taney?,"'To the ""Dred"" of abolitionists, this man from a slaveholding family was chief justice of the U.S.'"
183900,Acts (of the Apostles),What is the book of Acts?,"'Of the books in the King James Bible, this New Testament book is alphabetically first'"
1361,Madame Dubarry,Who was Madame du Barry?,'In 1793 this former mistress of Louis XV was guillotined for aiding those seeking to restore the monarchy'
193430,(Ulysses S.) Grant,Who is General Grant?,"'<a href=""http://www.j-archive.com/media/2005-02-01_DJ_09.jpg"" target=""_blank"">Here</a> I am meeting this new Union commander for the first time'"
23701,"""The City of Brotherly Love""","What is ""The City of Brotherly Love?""",'5-word nickname of Philadelphia'
164476,Challah/loaves of bread,What is challah?,"'On the Sabbath table, you may see 2 of these with 3 braids each'"
193538,Krona/kroners,What is the Icelandic króna?,"'Like Sweden, Iceland uses currency called this'"
172672,Andrew Greeley,Who is Father Andrew M. Greeley?,"'This priest wrote a sci-fi novel called ""The God Game"", but he's better known for his ""Cardinal Sins""'"
195364,La-Z-Boy Scout,What is Lazy Boy Scout?,'The brand of reclining chair that never made it past tenderfoot'
94106,13 & 30,What is 13 Going on 30?,"'Jennifer Garner goes from geek to gorgeous & grown-up in ""___ Going on ___""'"
78486,Nuclear reactor,What is a nuclear power plant?,"'With a net capacity of 1,380 MW, the single largest one of these is the Ignalina station in Lithuania'"
144004,Sun gods,What are names of sun deities worshipped in different cultures and religions?,"'Shamash, Mithras, Sol & Ra'"
136356,Chester Nimitz,Who is Admiral Chester W. Nimitz?,"'After the war, this fleet admiral served as chief of naval operations'"
216752,(John) Hancock,Who is John Hancock?,"'Upon signing his name in 1776 he said, ""There, King George will be able to read that without his spectacles""'"
215990,the Sherman Anti-Trust Act,What is the Sherman Antitrust Act?,"'In an effort to curb monopolies, Congress passed this act in 1890'"
96291,3,What is three lines?,'A haiku consists<br />of 17 syllables<br />in this many lines'
169715,a bobby-soxer,What is a bobby soxer?,'This term for a teenage girl of the 1940s & '50s comes from a style of foot coverings'
208799,"""Only the names have been changed to protect the innocent""","""What you're about to see is the tale of a cop..."" (from the TV show Dragnet)","'""The story you are about to see is true....""'"
188331,"April, 1861",What is April 1861?,"'(<a href=""http://www.j-archive.com/media/2005-04-14_DJ_14.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from Fort Sumter in Charleston, SC.</a>)  At Fort Sumter, early one morning in this month & year, South Carolinian Henry Farley fired what may have been the Civil War's first shot'"
170415,Royal Canadian Mounted Police,What is RCMP?,"'Law north of the border: <a href=""http://www.j-archive.com/media/2007-04-11_DJ_13.mp3"">RCMP</a>'"
185988,a chopper,What is a tool used for aerial transportation?,'A helicopter'
106559,Grauman\'s/Mann\'s Chinese Theater,What is the Grauman's Chinese Theatre?,"'Stars in front of this famous theater include Basil Rathbone's, William Shatner's & Billy Graham's'"
71459,\'Twas,"What is ""Twas""?","'First word of Lewis Carroll's ""Jabberwocky""'"
102582,the nanny cam,What is a nanny cam?,'The nanny feels it's wrong that this device for spying on employees got named for her'
47104,Pans,What are things that involve or can produce heat?,"'Dust,<br />frying,<br />Peter'"
62452,(Scott) Fitzgerald,Who is F. Scott Fitzgerald?,'The most-visited grave site at St. Mary's cemetery in Rockville Maryland is that of this author & his wife Zelda'
82796,the Marine Band,Who is the United States Marine Band?,'In 1880 John Philip Sousa became the leader of this military band'
147069,Lillian Hellmann,Who is Lillian Hellman?,'She married fellow playwright Arthur Kober but never tied the knot with Dashiell Hammett'
186255,St. Bartholomew,Who is Saint Bartholomew?,'The Pope struck a medal to celebrate the 1572 massacre of Huguenots on this saint's day'
186150,a knot (or a nautical mile),What is a nautical mile?,"'Used by junks & schooners alike, it's about 1.15 miles'"
207032,St. Rose of Lima,Who is Saint Rose of Lima?,"'Patron saint of South America, she was the first canonized saint from the Western hemisphere'"
186936,a holiday,"What is a ""holiday""?","'It's not just a special occasion like Easter or Boxing Day, it's also a vacation in general'"
186179,(Tom) Hanks,What is Tom Hanks?,"'""Turner & Hooch"" (just Turner, please)'"
124223,"""Of Human Bondage""",What is Of Human Bondage?,'By age 13 Philip Carey is a student at the King's School in Tercanbury in this Somerset Maugham novel'
74327,M&M\'s,What are M&M's?,'Yum!  The peanut version of these letter-perfect candies debuted in 1954'
115233,the bedroom,What is a bedroom?,'Under D:<br />Dormitorio is this room in your house'
197047,Ben-Hur: A Tale of the Christ,"What is ""Ben-Hur""?",'Lew Wallace served as a Union Major General in the Civil War before penning this biblical epic'
172261,(Ruben) Studdard,Who is Ruben Studdard?,"'""Soulful"", the debut album by this ""American Idol"" winner, reached No. 1 in December 2003'"
5308,(Mustafa) Kemal (or Kemal Ataturk),Who is Mustafa Kemal Ataturk?,'The Ottoman empire ended in 1922 when this man led a movement that established the Republic of Turkey'
194228,a chain gang,"What is ""chain gang""?","'""I am a fugitive from"" this group of convicts hooked together doing manual labor outside'"
93360,"(""Bugsy"") Siegel",Who is Bugsy Siegel?,"'He talked the syndicate into putting $6 million into the Flamingo in Vegas, but that didn't work out so well for him'"
127468,New Jersey Devils/New Jersey Nets,What are the New Jersey Devils and the New York Nets/Brooklyn Nets? (Note: The arena is now known as the Prudential Center and the Nets play there only occasionally.),"'1 of 2 pro sports teams that play in the Brendan Byrne Arena in East Rutherford, New Jersey'"
176673,"""Masters Of The Universe""",What are Masters of the Universe?,'Tom Wolfe used the name of these toy characters to describe Wall Street hotshots'
111352,Great Britain/England,What is England?,"'Port got a boost from the 1703 Methuen Treaty, which gave Portuguese goods low tariffs in this country'"
57438,You\'ve Got Mail,"What is ""You've Got Mail""?","'This Meg Ryan-Tom Hanks romantic comedy was inspired by ""The Shop Around the Corner""'"
156361,a handkerchief,What is a pocket square?,'In the 1890s men wore this in the cuff of the sleeve; today it goes in a jacket pocket'
17956,an oak,What is the oak of Shechem?,"'Jacob took idols & hid them under this mighty tree where, we assume, little idols don't grow'"
16430,the Camaro,What is the Chevrolet Camaro?,"'Powered(?) by a 90-hp engine, the 1982 model of this iconic Chevy sports car took 20 seconds to go from zero to 60'"
57446,high beams,What are the high-beam headlights?,'A blue light on your dashboard indicates these are in use'
91874,Milan,Who is Leonardo da Vinci?,"'Ludovico Sforza, a duke of this city, was so dark he was nicknamed Il Moro, ""The Moor""'"
111931,Liv Ullmann & Ingmar Bergman,Who are Liv Ullmann and Ingmar Bergman?,'Their daughter Linn Ullmann married an Oslo lawyer in 1989'
48897,Kellogg\'s,What is Kellogg's?,'In 1916 this company intorduced its All-Bran cereal as a source of dietary fiber'
75031,the Bionic Woman (Jaime Sommers),Who is Jaime Sommers (The Bionic Woman)?,'For 1976-77:<br />Lindsay Wagner'
37898,blueberries,What is blueberry?,'The first new variety of Eggo waffle Kellogg's made was one with this fruit in 1972'
53500,mushrooms,What is a mushroom?,"'Mycophagists, including humans, are eaters of this kind of fungus'"
30693,(Jack) Johnson,Who is Jack Johnson?,'In 1915 Jess Willard took the heavyweight title from this first black man to hold it'
71350,grapefruits,What is grapefruit?,"'Ruby red, star ruby'"
28475,the Chipmunks,What is the name of the group formed by these three animated chipmunks?,"'Alvin, Simon & Theodore'"
44230,Hematologist,What is a hospital?,"'FBI agent Malone comes into town to find out how a claymore mine got there & see his mom, one of these blood doctors'"
194295,mom & pop,"What is ""mom-and-pop""?","'This adjective is used to describe a small, family-run grocery'"
38150,(Harper) Lee,Who is Harper Lee?,"'""Mockingbird"" is a portrait of this Southern writer'"
19821,Zambia & Zimbabwe,What are Zambia and Zimbabwe?,"'Currently, the only 2 countries in the world that begin with the letter Z'"
147091,the pupils,What are pupils?,"'If a patient is non-responsive & these openings in the iris are fixed & dilated, it's bad news'"
193499,(the Land of) Fire,"What is ""Fire""?","'Though very close to the very icy Antarctica, Tierra del Fuego means ""Land of"" this'"
1566,innards,What is guts?,"'Another word for entrails or viscera (sorry, mealtime America)'"
127682,Berkshire County,What is Berkshire?,'Pennsylvania's Berks County is a shortened form for this British county that also has a Reading'
71506,Teddy Roosevelt,Who is Theodore Roosevelt?,'The Republican Party reunited when the Bull Moose Party evaporated after nominating this man as president'
206201,draft laws (or conscription laws),What is the draft or conscription?,'In 1863 the U.S. government passed the first of these laws compelling young men to sign up for service in the Army'
221,Iceland,What is Norway?,"'Exiled for manslaughter, Eric the Red was forced to leave this country around 981'"
189545,U.S. Treasurer,What is the first woman to have her signature printed on United States currency as Treasurer of the United States?,"'Georgia Neese Clark was right on the money, or at least her signature was, as the first woman in this post'"
25705,St. Vitus\' Dance,What is St. Vitus' Dance?,'17th century name for the medical condition today known as Sydenham's Chorea'
190680,*NSYNC,Who is NSYNC?,"'...May 1979 was Lance Bass, now part of this group'"
157761,Captain & Tennille,Who are Captain and Tennille?,"'Their first hit, 1975's “Love Will Keep Us Together”, was written by Neil Sedaka'"
127320,"\""Plutarch\'s Lives\""","What is ""Plutarch's Lives""?",'4 single biographies & 23 pairs of biographies make up this classical work'
12113,(Pat) Conroy,Who is Pat Conroy?,"'This novelist had Bull Meecham, aka ""The Great Santini"", go out in a plane crash'"
159414,constitutional amendments,What are amendments to the United States Constitution?,"'The 15th, 17th, 19th, 23rd, 24th & 26th ones of these are specifically concerned with voting'"
54260,the blues,What is blues music?,'The Center for the Study of Southern Culture puts out a magazine on this form of American music'
7255,(Sandy) Koufax,Who is Sandy Koufax?,"'During his 1955-1966 career, this Dodger pitcher averaged 9.28 strikeouts per 9 innings'"
179491,a bartender,What is bartending?,"'Many out-of-work actors make ends meet as mixologists, this profession'"
81137,"1 of (""Mad as a Hatter"" or ""Mad as a Mars Hare"")","What are ""March Hare"" and ""Mad Hatter""?",'1 of 2 phrases from which 2 of Carroll's crazy tea party participants were named'
98103,Coy/koi,"What is ""Koi""?","'Shy or reserved, or a Japanese pond fish'"
78438,Lili\'uokalani,Who is Queen Liliuokalani?,"'This queen may be best known for a song she wrote, ""Aloha Oe""'"
40836,(C.S.) Lewis,Who is C.S. Lewis?,"'This author once wrote, ""Let us suppose that there were a land like Narnia... and then imagine what would happen""'"
11964,Lawrence of Arabia (T.E. Lawrence),"Who is T. E. Lawrence, also known as Lawrence of Arabia?","'During WWI, this British adventurer led the Arabs in a revolt against Turkish rule'"
55223,2000 (MM),What is 2000?,"'If the letters seen <a href=""http://www.j-archive.com/media/1999-02-09_DJ_04.jpg"" target=""_blank"">here</a> were upper case, they would add up to this amount<br /><br />mm'"
115450,"""Red""",What is Red Smith?,'Colorful nickname of Times sportswriter Walter Smith'
152002,rose & iris,"What is ""Iris"" and ""Rose""?","'RS<br />(2 responses, please)'"
213752,Duchess of Windsor (Wallis Warfield),Who is Wallis Simpson?,"'(Hi, I'm Jane Seymour.) I was nominated for a Golden Globe for playing this famous woman in the TV movie ""The Woman He Loved""'"
86451,Wiccan,What is Wicca?,'Organizations for this religion include the Assembly of the Sacred Wheel & the Covenant of the Goddess'
176205,Devil\'s Island,What is Devil's Island?,'Ile du Diable is the French name for this place that was once a French penal colony'
135190,The Underworld,"What is ""Under""?",'Hades'
190564,Wind chill factor,What is wind chill?,'In 1997 the Dakotas were declared disaster areas as the cold hit -80 degrees including this factor'
126151,the Silent Service,"What is the ""Silent Service""?",'Quiet alliterative nickname of the U.S. Navy's submarine fleet'
128258,the Deutsch mark,What is the Deutschmark?,'A 2010 Bild magazine survey showed that almost half of all Germans would like to forgo the euro to get this back'
19495,MouseHunt,"What is ""Mouse Hunt""?","'This Nathan Lane film is basically ""Home Alone"" with a rodent'"
119265,the Empire Style,What is Empire style?,"'Term for the Neoclassical style of furniture, decoration & fashion in vogue in Napoleonic France'"
175688,Pusan,What is Busan?,'It's South Korea's chief port & second-largest city'
58762,"""My Boyfriend\'s Back""","What is ""My Boyfriend's Back""?","'According to Billboard, The Angels, with this 1963 song, were the 1st all-white girl group to have a No. 1 hit'"
87194,(Leif) Eriksson,Who is Leif Erikson?,"'In 2008 October 9 was proclaimed the ""Day"" of this Nordic man said to be the first European to reach North America'"
131643,"""Hello Goodbye""","What is the song ""Hello, Goodbye"" by The Beatles?","'""You say yes<br />I say no<br />you say stop and<br />I say go go go""'"
15069,the torch of the Statue of Liberty,What is a depiction of Harriet Tubman on the $10 bill?,"'Grandma slipped you a $10 bill, the redesigned one with this new fire-bearing symbol of freedom on it'"
107875,-I-N-E,"What is ""ine""?",'All 5 elements of the salt-producing halogen group end in these 3 letters (one element purifies drinking water)'
144879,Debutante/coming out party,What is a debutante ball?,"'One of the most lavish of these ""parties"" was young socialite Barbara Hutton's in 1930'"
36834,"Richard Nixon, Gerald Ford & Jimmy Carter","Who are Richard Nixon, Gerald Ford, and Jimmy Carter?",'The 3 men who served as U.S. presidents in the 1970s'
157294,(Henry David) Thoreau,Who is Henry David Thoreau?,"'His essay ""Civil Disobedience"" was delivered as a lecture & printed as ""Resistance to Civil Government""'"
152244,Professor Higgins,Who is Professor Henry Higgins?,'Shaw wrote that Eliza Doolittle secretly wishes to drag this man off his pedestal & make love to him'
131446,Alf Landon,Who is Everett Dirksen?,"'He died in Topeka October 12, 1987, a month after his 100th birthday'"
127018,marshmallows,What is marshmallow?,'This fluffy white confection holds your Rice Krispies Treats together'
156356,"Kurt Vonnegut, Jr.",Who is Kurt Vonnegut?,"'A 1965 novel by this author introduced his alter ego, sci-fi writer Kilgore Trout'"
